270,54,r
273,55,S
274,55,r
274,48,S
277,52,S
278,55,r
278,54,S
281,51,S
282,52,S
285,55,M
286,54,M
287,52,r
290,53,S
291,56,S
294,49,S
295,54,S
296,51,r
299,58,S
300,53,r
300,56,S
302,52,M
303,54,M
304,53,r
307,50,S
308,52,S
311,54,S
315,56,M
316,52,M
317,58,r
320,50,S
321,60,S
324,54,M
325,54,M
326,57,r
329,56,S
330,53,r
330,54,S
332,51,M
333,54,M
334,52,M
337,55,S
338,52,S
339,51,r
339,56,S
341,54,M
342,48,S
343,57,S
346,56,S
346,51,M
347,60,S
348,51,r
348,58,S
350,54,M
351,59,M
352,53,M
353,54,r
356,54,S
357,51,r
357,50,S
360,54,S
361,53,S
364,54,S
364,53,M
365,53,S
366,53,r
366,52,S
368,54,M
369,55,S
370,53,r
370,52,S
372,55,M
373,55,S
374,59,S
377,57,S
378,57,S
379,52,r
379,52,S
382,58,S
383,55,S
386,61,M
387,57,M
388,54,r
391,51,S
392,66,S
395,60,M
396,55,M
397,54,r
400,59,S
401,54,S
404,55,M
405,53,M
406,61,r
410,56,r
410,54,S
413,55,S
414,53,r
414,50,S
417,56,S
418,56,S
421,54,S
422,64,S
425,49,M
426,52,M
427,56,r
430,55,S
431,54,S
434,59,M
435,50,M
436,53,r
439,59,S
440,55,r
440,52,S
442,52,M
443,53,M
444,58,M
447,50,S
448,56,S
449,54,r
449,52,S
451,58,M
452,51,S
453,58,S
456,53,S
457,53,S
458,51,r
458,56,S
460,53,M
461,59,M
465,53,S
466,54,r
466,57,S
469,56,S
470,65,S
473,54,M
474,51,M
475,50,r
477,55,S
478,58,S
479,53,r
479,50,S
481,58,M
482,54,M
483,59,r
486,50,S
487,52,S
488,56,r
490,50,M
491,59,M
492,54,r
495,54,S
496,60,S
499,52,M
500,53,M
501,62,r
504,50,S
505,55,S
508,53,M
509,52,M
510,54,r
513,54,S
514,53,r
514,54,S
516,53,M
517,56,M
518,56,r
521,55,S
522,58,S
524,52,M
525,46,M
526,60,M
527,56,r
529,57,S
530,52,S
531,56,r
531,53,S
533,53,S
534,57,S
535,55,r
535,58,S
537,53,M
538,52,S
539,61,S
542,53,S
543,56,S
544,55,r
544,56,S
546,54,M
547,53,M
548,56,M
551,52,S
552,54,S
553,57,r
553,60,S
555,59,M
556,51,M
557,54,r
560,54,S
561,54,r
561,53,S
564,55,M
565,52,M
566,57,r
569,54,S
570,56,r
570,55,S
573,54,S
574,54,S
575,52,r
578,58,S
579,58,r
579,51,S
581,56,M
582,50,M
584,55,S
585,55,r
585,54,S
586,56,M
587,59,M
588,58,M
589,55,r
591,53,S
592,62,S
594,50,M
595,56,M
597,57,S
598,52,r
599,55,S
600,63,S
601,53,r
601,52,S
603,56,M
604,54,M
605,51,M
606,65,r
609,60,S
610,54,r
610,51,S
612,62,M
613,56,S
614,55,S
617,52,S
618,59,S
622,53,S
623,49,r
623,54,S
625,52,M
626,61,M
627,54,M
628,52,r
631,54,S
632,52,S
635,56,M
636,54,M
637,51,r
640,53,S
641,54,r
641,51,S
644,60,S
645,57,S
648,59,r
648,52,M
649,47,M
653,55,S
654,53,S
657,55,M
658,55,M
659,52,r
662,51,S
663,56,S
666,56,S
667,54,S
669,53,M
670,55,M
671,51,M
672,53,r
675,55,S
676,52,r
676,52,S
679,56,M
680,54,M
681,59,r
684,57,S
685,51,r
685,54,S
688,61,S
689,52,S
692,60,S
693,51,S
694,56,r
694,63,S
696,52,M
697,60,M
698,54,r
701,52,S
702,54,r
702,57,S
704,52,M
705,63,S
706,60,S
708,54,M
710,56,S
711,56,r
711,49,S
714,51,S
715,54,S
719,55,S
720,54,r
720,48,S
722,58,M
723,50,S
724,55,r
724,54,S
727,58,S
728,54,r
728,55,S
731,51,M
732,57,M
733,64,r
736,53,S
737,58,r
737,55,S
740,52,M
741,52,M
742,55,r
745,57,S
746,54,r
746,53,S
748,50,M
749,54,M
753,54,S
754,61,r
754,54,S
757,63,M
758,53,M
759,54,r
762,60,S
763,54,r
763,53,S
766,57,S
767,56,r
767,49,S
770,54,M
771,51,M
772,56,r
775,52,S
776,52,S
779,57,S
780,49,S
781,57,r
781,48,S
784,55,S
785,55,r
785,48,S
787,56,M
788,57,M
789,52,M
792,58,S
793,49,S
794,52,r
794,54,S
796,50,M
797,60,M
798,50,M
801,55,S
802,52,S
803,59,r
803,54,S
806,57,S
807,53,r
807,48,S
809,53,M
810,55,S
811,52,r
811,54,S
814,55,M
815,53,M
816,63,r
819,52,S
820,54,r
820,53,S
823,48,S
824,51,S
827,53,M
828,55,M
829,55,r
831,56,r
834,55,S
835,54,r
835,59,S
837,54,M
838,58,M
839,52,r
842,62,S
843,55,S
845,51,M
846,55,M
847,58,M
850,53,S
851,52,S
854,54,S
854,53,M
855,64,S
856,46,r
856,51,S
858,51,M
859,52,M
860,59,M
861,59,r
864,55,S
865,57,S
868,54,S
869,54,S
870,56,r
870,55,S
872,52,M
873,52,S
874,54,r
874,64,S
876,59,M
877,53,M
878,54,r
881,56,S
882,56,r
882,51,S
885,53,S
886,54,S
887,56,r
887,49,S
889,59,M
890,55,M
891,54,M
895,53,S
896,54,r
896,51,S
899,54,S
900,54,S
902,52,M
903,58,M
904,48,M
905,52,r
907,51,S
908,55,S
909,53,r
909,54,S
911,54,M
912,55,S
913,54,r
913,55,S
916,51,S
917,59,S
920,57,M
921,51,M
922,57,r
925,53,S
926,51,r
926,52,S
928,52,M
929,55,S
930,52,S
933,54,M
934,50,M
935,49,r
938,53,S
939,52,S
942,55,M
943,50,M
944,58,r
947,54,S
948,51,S
951,52,S
952,60,S
954,56,M
955,51,M
956,61,M
957,59,r
960,51,S
961,56,r
961,51,S
964,58,M
965,53,M
966,54,r
969,50,S
970,54,r
970,53,S
972,53,M
973,57,M
974,60,M
977,58,S
978,53,S
981,51,M
982,51,M
983,56,r
985,54,S
986,57,S
987,56,r
987,53,S
989,55,M
990,54,M
991,54,M
994,57,S
995,56,S
996,49,r
996,56,S
998,54,M
999,55,S
1000,55,S
1003,51,M
1004,56,M
1005,54,r
1008,53,S
1009,52,r
1009,54,S
1011,53,M
1012,54,S
1013,56,r
1013,55,S
1016,51,S
1017,57,S
1018,54,r
